repo,month,PushEvent,PullRequestReviewEvent,IssueCommentEvent,PullRequestEvent,PullRequestReviewCommentEvent,CreateEvent,DeleteEvent,IssuesEvent,total
LFDT-Verii/core,2025-07,12,1,0,4,0,4,2,0,23
LFDT-Verii/core,2025-08,4,4,0,1,1,0,0,0,10
LFDT-Verii/core,2025-09,34,7,1,2,5,1,2,0,52
LFDT-Verii/core,2025-10,0,4,0,0,0,0,0,0,4
LFDT-Verii/core,2025-11,8,3,0,1,2,2,2,0,18
LFDT-Verii/core,2025-12,1,4,0,1,0,0,0,0,6
hyperledger/besu,2021-02,0,0,1,0,0,0,0,0,1
hyperledger/besu,2021-05,0,0,1,0,0,0,0,1,2
hyperledger/besu,2022-01,0,0,0,0,0,0,0,1,1
hyperledger/besu,2022-02,0,0,1,0,0,0,0,0,1
hyperledger/besu,2022-07,0,0,3,0,0,0,0,0,3
hyperledger/besu,2022-08,0,0,1,0,0,0,0,0,1
hyperledger/besu,2023-01,0,0,2,0,0,0,0,0,2
hyperledger/besu,2024-09,0,0,1,0,0,0,0,2,3
hyperledger/besu,2024-11,0,0,1,0,0,0,0,0,1
LFDT-Verii/governance,2025-07,1,0,0,2,0,0,1,0,4
LFDT-Verii/governance,2025-12,2,0,0,1,0,0,0,0,3
hyperledger/besu-docs,2021-09,0,0,0,0,0,0,0,1,1
